
## 🏗️ System Architecture Core (Pass 1 & Pass 2)
| ID | Component | Phase | Status | Legacy Path / Notes |
| P4-COR377 | VrBrushVisualization | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/vr_brush_visualization.py |
| P4-COR378 | ShaderCompiler | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/shader_compiler.py |
| P4-COR379 | ClipTimeline | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/clip_timeline.py |
| P4-COR380 | VjlivestWebsocketHandlers | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/vjlivest_websocket_handlers.py |
| P4-COR381 | HealthMonitor | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/health_monitor.py |
| P4-COR382 | TestShaderCompilation | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/test_shader_compilation.py |
| P4-COR383 | VideoBufferManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/video_buffer_manager.py |
| P4-COR384 | WebsocketHandlers | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/websocket_handlers.py |
| P4-COR385 | ClipModels | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/clip_models.py |
| P4-COR386 | OutputMapper | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/output_mapper.py |
| P4-COR387 | RhythmInteraction | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/rhythm_interaction.py |
| P4-COR388 | Loader | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/loader.py |
| P4-COR389 | WebcamDepthEstimator | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/webcam_depth_estimator.py |
| P4-COR390 | DepthDataBus | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/depth_data_bus.py |
| P4-COR391 | MoodPresetManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/mood_preset_manager.py |
| P4-COR392 | FrameProfiler | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/frame_profiler.py |
| P4-COR393 | VjApp | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/vj_app.py |
| P4-COR394 | MarketplaceBridge | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/marketplace_bridge.py |
| P4-COR395 | GlWrapper | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/gl_wrapper.py |
| P4-COR396 | ApiProcess | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/api_process.py |
| P4-COR397 | GestureEngine | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/gesture_engine.py |
| P4-COR398 | AiShadererator | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/ai_shader_generator.py |
| P4-COR399 | DepthShaders | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/depth_shaders.py |
| P4-COR400 | DepthPipelineNew | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/depth_pipeline_new.py |
| P4-COR401 | QuotaManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/quota_manager.py |
| P4-COR402 | BrushSuggestion | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/brush_suggestion.py |
| P4-COR403 | SignalRouting | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/signal_routing.py |
| P4-COR404 | MixerState | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/mixer_state.py |
| P4-COR405 | SessionManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/session_manager.py |
| P4-COR406 | TimecodeSync | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/timecode_sync.py |
| P4-COR407 | UsbLicense | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/usb_license.py |
| P4-COR408 | Exceptions | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/exceptions.py |
| P4-COR409 | PerceptionStreamTelemetry | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/perception_stream_telemetry.py |
| P4-COR410 | Lumenerator | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/lumen_generator.py |
| P4-COR411 | PerformanceRecording | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/performance_recording.py |
| P4-COR412 | PerceptionBuffer | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/perception_buffer.py |
| P4-COR413 | MacroManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/macro_manager.py |
| P4-COR414 | GpuUtils | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/gpu_utils.py |
| P4-COR415 | DepthPipeline | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/depth_pipeline.py |
| P4-COR416 | TimelineLayerWsHandlers | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/timeline_layer_ws_handlers.py |
| P4-COR417 | ShaderProgram | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/shader_program.py |
| P4-COR418 | VjlivestPluginSystem | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/vjlivest_plugin_system.py |
| P4-COR419 | ConnectionPool | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/connection_pool.py |
| P4-COR420 | LumenHydraPreprocessor | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/lumen_hydra_preprocessor.py |
| P4-COR421 | HydraGistManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/hydra_gist_manager.py |
| P4-COR422 | UsbExporter | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/usb_exporter.py |
| P4-COR423 | Logger | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/logger.py |
| P4-COR424 | SystemMonitor | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/system_monitor.py |
| P4-COR425 | MoodTemporalPatterns | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/mood_temporal_patterns.py |
| P4-COR426 | HotReloadWatcher | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/hot_reload_watcher.py |
| P4-COR427 | FeatureGater | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/feature_gater.py |
| P4-COR428 | Abstract | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/abstract.py |
| P4-COR429 | PluginSandbox | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/plugin_sandbox.py |
| P4-COR430 | VideoSourcesRealsense | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/video_sources_realsense.py |
| P4-COR431 | GraphRenderer | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/graph_renderer.py |
| P4-COR432 | Renderer | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/renderer.py |
| P4-COR433 | MiniMain | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/mini_main.py |
| P4-COR434 | GpuTextOverlay | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/gpu_text_overlay.py |
| P4-COR435 | PerformanceLogger | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/performance_logger.py |
| P4-COR436 | HapCodec.Py.Recovered | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/hap_codec.py.recovered.py |
| P4-COR437 | VisualMirror | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/visual_mirror.py |
| P4-COR438 | VisionGestures | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/vision_gestures.py |
| P4-COR439 | ModulationMatrix | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modulation_matrix.py |
| P4-COR440 | WebServer | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/web_server.py |
| P4-COR441 | FrameBudget | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/frame_budget.py |
| P4-COR442 | UnifiedMatrixIntegration | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/unified_matrix_integration.py |
| P4-COR443 | ConfigValidator | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/config_validator.py |
| P4-COR444 | AdminApi | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/admin_api.py |
| P4-COR445 | SemanticSearch | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/semantic_search.py |
| P4-COR446 | LightingBridge | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/lighting_bridge.py |
| P4-COR447 | GistLoader | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/gist_loader.py |
| P4-COR448 | ThreadManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/thread_manager.py |
| P4-COR449 | BurstCreditManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/burst_credit_manager.py |
| P4-COR450 | CapabilityRegistry | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/capability_registry.py |
| P4-COR451 | HotplugDetector | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/hotplug_detector.py |
| P4-COR452 | Texture3D | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/texture3d.py |
| P4-COR453 | ApplicationStateManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/application_state_manager.py |
| P4-COR454 | MultiCoordinator | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/multi_node_coordinator.py |
| P4-COR455 | GlUtils | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/gl_utils.py |
| P4-COR456 | UnifiedShaderManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/unified_shader_manager.py |
| P4-COR457 | InputValidation | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/input_validation.py |
| P4-COR458 | WebsocketBrushHandler | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/websocket_brush_handler.py |
| P4-COR459 | NodeDiscovery | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/node_discovery.py |
| P4-COR460 | TestFlashCalibration | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/test_flash_calibration.py |
| P4-COR461 | LoggingConfig | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/logging_config.py |
| P4-COR462 | DepthCalibration | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/depth_calibration.py |
| P4-COR463 | DirectorTool | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/director_tool.py |
| P4-COR464 | CodeOverlay | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/code_overlay.py |
| P4-COR465 | RenderPipeline | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/render_pipeline.py |
| P4-COR466 | ShadowObserver | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/shadow_observer.py |
| P4-COR467 | FeedbackLoopCoordinator | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/feedback_loop_coordinator.py |
| P4-COR468 | OrchestraOverlay | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/orchestra_overlay.py |
| P4-COR469 | MoodMapper | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/mood_mapper.py |
| P4-COR470 | MinimalShaderTest | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/minimal_shader_test.py |
| P4-COR471 | BrushEngines | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/brush_engines.py |
| P4-COR472 | TestSensorIntegration | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/test_sensor_integration.py |
| P4-COR473 | HapVideoManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/hap_video_manager.py |
| P4-COR474 | PluginLoader | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/plugin_loader.py |
| P4-COR475 | LatentSpaceMapping | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/latent_space_mapping.py |
| P4-COR476 | PerformanceMonitor | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/performance_monitor.py |
| P4-COR477 | SafetyLoop | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/safety_loop.py |
| P4-COR478 | HapPlayer | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/hap_player.py |
| P4-COR479 | MoodDictionary | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/mood_dictionary.py |
| P4-COR480 | ProjectManifest | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/project_manifest.py |
| P4-COR481 | RhythmConsciousness | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/rhythm_consciousness.py |
| P4-COR482 | NdiManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/ndi_manager.py |
| P4-COR483 | ShaderManager | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/shader_manager.py |
| P4-COR484 | RhythmEngine | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/audio/rhythm_engine.py |
| P4-COR485 | CircuitBreaker | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/utils/circuit_breaker.py |
| P4-COR486 | RhythmicUtils | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/utils/rhythmic_utils.py |
| P4-COR487 | CommandQueue | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/utils/command_queue.py |
| P4-COR488 | PtzController | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/inputs/ptz_controller.py |
| P4-COR489 | QuantumTimelineApi | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/timeline/quantum_timeline_api.py |
| P4-COR490 | TimelineService | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/timeline/timeline_service.py |
| P4-COR491 | QuantumTimeline | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/timeline/quantum_timeline.py |
| P4-COR492 | ReneCartesian | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/sequencers/rene_cartesian.py |
| P4-COR493 | CslCrossModulator | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modifiers/csl_cross_modulator.py |
| P4-COR494 | VRoots | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modifiers/v_roots.py |
| P4-COR495 | VMathsGui | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modifiers/v_maths_gui.py |
| P4-COR496 | ColorModifiers | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modifiers/color_modifiers.py |
| P4-COR497 | VMimeophon | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modifiers/v_mimeophon.py |
| P4-COR498 | VStagesSegmenterator | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modifiers/v_stages_segment_generator.py |
| P4-COR499 | CeisVisualStrikeEnvelope | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modifiers/ceis_visual_strike_envelope.py |
| P4-COR500 | ScionFlux | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modifiers/scion_flux.py |
| P4-COR501 | VMarbles | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modifiers/v_marbles.py |
| P4-COR502 | VRcd | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modifiers/v_rcd.py |
| P4-COR503 | LogicModule | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modifiers/logic_module.py |
| P4-COR504 | OchdMultiDriftEngine | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modifiers/ochd_multi_drift_engine.py |
| P4-COR505 | VGrids | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/modifiers/v_grids.py |
| P4-COR506 | CalibrationLoader | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/vision/calibration_loader.py |
| P4-COR507 | AutoCalibrator | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/vision/auto_calibrator.py |
| P4-COR508 | OutputWarper | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/vision/output_warper.py |
| P4-COR509 | StructuredLight | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/vision/structured_light.py |
| P4-COR510 | Texture3DWebsocket | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/texture_3d_websocket.py |
| P4-COR511 | ShaderHotReload | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/shader_hot_reload.py |
| P4-COR512 | PluginIsolation | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/plugin_isolation.py |
| P4-COR513 | PluginApi | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/plugin_api.py |
| P4-COR514 | Texture3DIntegration | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/texture_3d_integration.py |
| P4-COR515 | SatanonautVideo | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/satanonaut_video.py |
| P4-COR516 | SimpleMimeophonVideo | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/simple_mimeophon_video.py |
| P4-COR517 | MidiPresets | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/midi_presets.py |
| P4-COR518 | Automation | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/automation.py |
| P4-COR519 | GpuCompatibility | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/gpu_compatibility.py |
| P4-COR520 | Masking | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/masking.py |
| P4-COR521 | MarketplaceClient | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/marketplace_client.py |
| P4-COR522 | MimeophonVideo | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/mimeophon_video.py |
| P4-COR523 | MimeophonControlBridge | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/mimeophon_control_bridge.py |
| P4-COR524 | TimeMachineTop | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/time_machine_top.py |
| P4-COR525 | ChromaticAberration | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/chromatic_aberration.py |
| P4-COR526 | Texture3DTop | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/texture_3d_top.py |
| P4-COR527 | PlanetaryLfos | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/planetary_lfos.py |
| P4-COR528 | PluginLoader | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/plugin_loader.py |
| P4-COR529 | SatanonautPlugin | P0 | ⬜ PENDING SKELETON (Pass 1) | DB: core/core_plugins/satanonaut_plugin.py |
