P0-G1 | WORKSPACE/PRIME_DIRECTIVE.md | target= | base=WORKSPACE/PRIME_DIRECTIVE.md
P4-BA03 | BMatrix81 | target= | base=BMatrix81
P4-BA05 | BSwitch | target= | base=BSwitch
P4-BA09 | NMix4 | target= | base=NMix4
P4-BA10 | NXFade | target= | base=NXFade
P4-BF01 | V-Even | target= | base=V-Even
P4-BF02 | V-Morphader | target= | base=V-Morphader
P4-BF03 | V-Outs | target= | base=V-Outs
P4-BF04 | V-Pony | target= | base=V-Pony
P4-BF05 | V-Scope | target= | base=V-Scope
P4-BF06 | V-Voltio | target= | base=V-Voltio
P6-AG1 | Agent Bridge | target= | base=Agent Bridge
P6-AG2 | Agent Physics — 16D manifold + gravity wells | target= | base=Agent Physics — 16D manifold + gravity wells
P6-AG3 | Agent Memory (50-snapshot system) | target=50-snapshot system | base=Agent Memory
P6-AG4 | Agent Control UI | target= | base=Agent Control UI
P7-U1 | Desktop GUI + SentienceOverlay easter egg | target= | base=Desktop GUI + SentienceOverlay easter egg
P7-U2 | Web-based remote control | target= | base=Web-based remote control
P7-U3 | Collaborative Studio UI | target= | base=Collaborative Studio UI
P7-U4 | Quantum Collaborative Studio | target= | base=Quantum Collaborative Studio
P7-U5 | TouchOSC export / mobile interface | target= | base=TouchOSC export / mobile interface
P7-U6 | CLI automation | target= | base=CLI automation
P8-I1 | End-to-end integration testing | target= | base=End-to-end integration testing
P8-I2 | Performance benchmarks (60fps target verified) | target=60fps target verified | base=Performance benchmarks
P8-I3 | Security audit (zero P0 vulns) | target=zero P0 vulns | base=Security audit
P8-I4 | 80%+ test coverage on all core systems | target= | base=80%+ test coverage on all core systems
P8-I5 | Complete documentation for all features | target= | base=Complete documentation for all features
P6-Q2 | 🔍 Analysis pending | target= | base=🔍 Analysis pending
P6-Q4 | 🔍 Analysis pending | target= | base=🔍 Analysis pending
P6-AI1 | 🔍 Analysis pending | target= | base=🔍 Analysis pending
P6-AG2 | 🔍 Analysis pending | target= | base=🔍 Analysis pending
P9-MISS010 | BF: EvenVCO (vbf_evenvco) | target=vbf_evenvco | base=BF: EvenVCO
P9-MISS011 | BF: Rampage (vbf_rampage) | target=vbf_rampage | base=BF: Rampage
P9-MISS012 | BF: A*B+C (vbf_abc) | target=vbf_abc | base=BF: A*B+C
P9-MISS013 | BF: Spring Reverb (vbf_springreverb) | target=vbf_springreverb | base=BF: Spring Reverb
P9-MISS014 | BF: Kickall (vbf_kickall) | target=vbf_kickall | base=BF: Kickall
P9-MISS015 | BF: Percall (vbf_percall) | target=vbf_percall | base=BF: Percall
P9-MISS016 | BF: Noise Plethora (vbf_noise_plethora) | target=vbf_noise_plethora | base=BF: Noise Plethora
P9-MISS017 | BF: Burst (vbf_burst) | target=vbf_burst | base=BF: Burst
P9-MISS018 | BF: Chopping Kinky (vbf_chopping_kinky) | target=vbf_chopping_kinky | base=BF: Chopping Kinky
P9-MISS019 | BF: Morphader (vbf_morphader) | target=vbf_morphader | base=BF: Morphader
P9-MISS020 | BF: Sampling Modulator (vbf_sampling_mod) | target=vbf_sampling_mod | base=BF: Sampling Modulator
P9-MISS021 | BF: Slew Limiter (vbf_slew_limiter) | target=vbf_slew_limiter | base=BF: Slew Limiter
P9-MISS022 | BF: Dual Atenuverter (vbf_dual_atenuverter) | target=vbf_dual_atenuverter | base=BF: Dual Atenuverter
P9-MISS023 | BF: Mixer (vbf_mixer) | target=vbf_mixer | base=BF: Mixer
P9-MISS024 | BF: Channel Strip (vbf_channel_strip) | target=vbf_channel_strip | base=BF: Channel Strip
P9-MISS025 | BF: STMix (vbf_stmix) | target=vbf_stmix | base=BF: STMix
P9-MISS026 | BF: Muxlicer (vbf_muxlicer) | target=vbf_muxlicer | base=BF: Muxlicer
P9-MISS027 | BF: ADSR (vbf_adsr) | target=vbf_adsr | base=BF: ADSR
P9-MISS028 | BF: Voltio (vbf_voltio) | target=vbf_voltio | base=BF: Voltio
P9-MISS029 | BF: Motion MTI (vbf_motion_mti) | target=vbf_motion_mti | base=BF: Motion MTI
P9-MISS030 | BF: Bypass (vbf_bypass) | target=vbf_bypass | base=BF: Bypass
P9-MISS031 | BF: Clocked (vbf_clocked) | target=vbf_clocked | base=BF: Clocked
P9-MISS032 | BF: HexMixVCA (vbf_hexmixvca) | target=vbf_hexmixvca | base=BF: HexMixVCA
P9-MISS033 | BF: Bandit (vbf_bandit) | target=vbf_bandit | base=BF: Bandit
P9-MISS034 | BF: Outs (vbf_outs) | target=vbf_outs | base=BF: Outs
P9-MISS035 | BF: MIDI Thing (vbf_midi_thing) | target=vbf_midi_thing | base=BF: MIDI Thing
P9-MISS036 | BF: Octaves (vbf_octaves) | target=vbf_octaves | base=BF: Octaves
P9-MISS037 | BF: Scope (vbf_scope) | target=vbf_scope | base=BF: Scope
P9-MISS038 | BF: Scope XL (vbf_scope_xl) | target=vbf_scope_xl | base=BF: Scope XL
P9-MISS039 | BF: PonyVCF (vbf_ponyvcf) | target=vbf_ponyvcf | base=BF: PonyVCF
P9-MISS040 | BF: PonyVCO (vbf_pony_vco) | target=vbf_pony_vco | base=BF: PonyVCO
P9-MISS041 | BG: VCO (vbg_vco) | target=vbg_vco | base=BG: VCO
P9-MISS042 | BG: VCO2 (vbg_vco2) | target=vbg_vco2 | base=BG: VCO2
P9-MISS043 | BG: XCO (vbg_xco) | target=vbg_xco | base=BG: XCO
P9-MISS044 | BG: Additator (vbg_additator) | target=vbg_additator | base=BG: Additator
P9-MISS045 | BG: FM-OP (vbg_fmop) | target=vbg_fmop | base=BG: FM-OP
P9-MISS046 | BG: Chirp (vbg_chirp) | target=vbg_chirp | base=BG: Chirp
P9-MISS047 | BG: Sine (vbg_sine) | target=vbg_sine | base=BG: Sine
P9-MISS048 | BG: Pulse (vbg_pulse) | target=vbg_pulse | base=BG: Pulse
P9-MISS049 | BG: Saw (vbg_saw) | target=vbg_saw | base=BG: Saw
P9-MISS050 | BG: Square (vbg_square) | target=vbg_square | base=BG: Square
P9-MISS051 | BG: LFO (vbg_lfo) | target=vbg_lfo | base=BG: LFO
P9-MISS052 | BG: LFO2 (vbg_lfo2) | target=vbg_lfo2 | base=BG: LFO2
P9-MISS053 | BG: LLFO (vbg_llfo) | target=vbg_llfo | base=BG: LLFO
P9-MISS054 | BG: 4LFO (vbg_fourlfo) | target=vbg_fourlfo | base=BG: 4LFO
P9-MISS055 | BG: 8LFO (vbg_eightlfo) | target=vbg_eightlfo | base=BG: 8LFO
P9-MISS056 | BG: VCF (vbg_vcf) | target=vbg_vcf | base=BG: VCF
P9-MISS057 | BG: LPG (vbg_lpg) | target=vbg_lpg | base=BG: LPG
P9-MISS058 | BG: FFB (vbg_ffb) | target=vbg_ffb | base=BG: FFB
P9-MISS059 | BG: EQ (vbg_eq) | target=vbg_eq | base=BG: EQ
P9-MISS060 | BG: PEQ (vbg_peq) | target=vbg_peq | base=BG: PEQ
P9-MISS061 | BG: PEQ6 (vbg_peq6) | target=vbg_peq6 | base=BG: PEQ6
P9-MISS062 | BG: PEQ14 (vbg_peq14) | target=vbg_peq14 | base=BG: PEQ14
P9-MISS063 | BG: PEQ14XL (vbg_peq14xl) | target=vbg_peq14xl | base=BG: PEQ14XL
P9-MISS064 | BG: DGate (vbg_dgate) | target=vbg_dgate | base=BG: DGate
P9-MISS065 | BG: Shaper (vbg_shaper) | target=vbg_shaper | base=BG: Shaper
P9-MISS066 | BG: Shaper+ (vbg_shaperplus) | target=vbg_shaperplus | base=BG: Shaper+
P9-MISS067 | BG: AD (vbg_ad) | target=vbg_ad | base=BG: AD
P9-MISS068 | BG: ADSR (vbg_adsr) | target=vbg_adsr | base=BG: ADSR
P9-MISS069 | BG: Follow (vbg_follow) | target=vbg_follow | base=BG: Follow
P9-MISS070 | BG: VCA (vbg_vca) | target=vbg_vca | base=BG: VCA
P9-MISS071 | BG: VCAmp (vbg_vcamp) | target=vbg_vcamp | base=BG: VCAmp
P9-MISS072 | BG: Velo (vbg_velo) | target=vbg_velo | base=BG: Velo
P9-MISS073 | BG: Amp (vbg_amp) | target=vbg_amp | base=BG: Amp
P9-MISS074 | BG: Mix1 (vbg_mix1) | target=vbg_mix1 | base=BG: Mix1
P9-MISS075 | BG: Mix2 (vbg_mix2) | target=vbg_mix2 | base=BG: Mix2
P9-MISS076 | BG: Mix4 (vbg_mix4) | target=vbg_mix4 | base=BG: Mix4
P9-MISS077 | BG: Mix8 (vbg_mix8) | target=vbg_mix8 | base=BG: Mix8
P9-MISS078 | BG: UMix (vbg_umix) | target=vbg_umix | base=BG: UMix
P9-MISS079 | BG: Mute8 (vbg_mute8) | target=vbg_mute8 | base=BG: Mute8
P9-MISS080 | BG: Pan (vbg_pan) | target=vbg_pan | base=BG: Pan
P9-MISS081 | BG: XFade (vbg_xfade) | target=vbg_xfade | base=BG: XFade
P9-MISS082 | BG: Matrix44 (vbg_matrix44) | target=vbg_matrix44 | base=BG: Matrix44
P9-MISS083 | BG: Matrix88 (vbg_matrix88) | target=vbg_matrix88 | base=BG: Matrix88
P9-MISS084 | BG: Matrix18 (vbg_matrix18) | target=vbg_matrix18 | base=BG: Matrix18
P9-MISS085 | BG: Matrix81 (vbg_matrix81) | target=vbg_matrix81 | base=BG: Matrix81
P9-MISS086 | BG: Noise (vbg_noise) | target=vbg_noise | base=BG: Noise
P9-MISS087 | BG: S&H (vbg_samplehold) | target=vbg_samplehold | base=BG: S&H
P9-MISS088 | BG: Walk (vbg_walk) | target=vbg_walk | base=BG: Walk
P9-MISS089 | BG: Walk2 (vbg_walk2) | target=vbg_walk2 | base=BG: Walk2
P9-MISS090 | BG: Switch1616 (vbg_switch1616) | target=vbg_switch1616 | base=BG: Switch1616
P9-MISS091 | BG: Switch44 (vbg_switch44) | target=vbg_switch44 | base=BG: Switch44
P9-MISS092 | BG: Switch88 (vbg_switch88) | target=vbg_switch88 | base=BG: Switch88
P9-MISS093 | BG: Switch18 (vbg_switch18) | target=vbg_switch18 | base=BG: Switch18
P9-MISS094 | BG: Switch81 (vbg_switch81) | target=vbg_switch81 | base=BG: Switch81
P9-MISS095 | BG: Addr (vbg_addr) | target=vbg_addr | base=BG: Addr
P9-MISS096 | BG: PGMR (vbg_pgmr) | target=vbg_pgmr | base=BG: PGMR
P9-MISS097 | BG: Delay (vbg_delay) | target=vbg_delay | base=BG: Delay
P9-MISS098 | BG: Stack (vbg_stack) | target=vbg_stack | base=BG: Stack
P9-MISS099 | BG: Reftone (vbg_reftone) | target=vbg_reftone | base=BG: Reftone
P9-MISS100 | BG: Blank3 (vbg_blank3) | target=vbg_blank3 | base=BG: Blank3
P9-MISS101 | BG: Blank6 (vbg_blank6) | target=vbg_blank6 | base=BG: Blank6
P9-MISS102 | BG: Offset (vbg_offset) | target=vbg_offset | base=BG: Offset
P9-MISS103 | BG: Slew (vbg_slew) | target=vbg_slew | base=BG: Slew
P9-MISS104 | BG: Sums (vbg_sums) | target=vbg_sums | base=BG: Sums
P9-MISS105 | BG: CLPR (vbg_clpr) | target=vbg_clpr | base=BG: CLPR
P9-MISS106 | BG: LMTR (vbg_lmtr) | target=vbg_lmtr | base=BG: LMTR
P9-MISS107 | BG: NSGT (vbg_nsgt) | target=vbg_nsgt | base=BG: NSGT
P9-MISS108 | BG: Pressor (vbg_pressor) | target=vbg_pressor | base=BG: Pressor
P9-MISS109 | BG: CMP (vbg_cmp) | target=vbg_cmp | base=BG: CMP
P9-MISS110 | BG: CVD (vbg_cvd) | target=vbg_cvd | base=BG: CVD
P9-MISS111 | BG: FlipFlop (vbg_flipflop) | target=vbg_flipflop | base=BG: FlipFlop
P9-MISS112 | BG: Inv (vbg_inv) | target=vbg_inv | base=BG: Inv
P9-MISS113 | BG: Manual (vbg_manual) | target=vbg_manual | base=BG: Manual
P9-MISS114 | BG: Mult (vbg_mult) | target=vbg_mult | base=BG: Mult
P9-MISS115 | BG: Quantize (vbg_quantize) | target=vbg_quantize | base=BG: Quantize
P9-MISS116 | BG: Analyzer (vbg_analyzer) | target=vbg_analyzer | base=BG: Analyzer
P9-MISS117 | BG: AnalyzerXL (vbg_analyzerxl) | target=vbg_analyzerxl | base=BG: AnalyzerXL
P9-MISS118 | BG: VU (vbg_vu) | target=vbg_vu | base=BG: VU
